Det_holding_cost	Det_fill_rate_service_level	2SS_holding_cost	2SS_fill_rate_service_level	lot_size_holding_cost	lot_size_fill_rate_service_level	AVG_Det_holding_cost	AVG_Det_fill_rate_service_level	AVG_2SS_holding_cost	AVG_2SS_fill_rate_service_level	AVG_lot_size_holding_cost	AVG_lot_size_fill_rate_service_level
1.813	92.798	1.803	94.203	9.846	95.621	1.614	90.536	1.682	91.290	9.164	95.491
1.496	90.661	1.681	92.712	9.241	96.610						
1.491	89.696	1.510	90.262	9.140	94.507						
1.245	86.962	1.549	88.128	8.306	94.438						
1.375	90.967	1.524	91.474	9.524	94.756						
1.783	92.002	1.597	93.909	9.714	96.041						
1.692	90.792	1.829	92.084	9.122	96.118						
1.598	90.728	1.565	89.346	8.735	95.079						
1.708	93.136	1.811	93.943	9.626	97.296						
1.410	91.641	1.511	90.566	8.520	95.775						
1.770	90.989	1.821	91.307	8.826	94.522						
1.429	90.121	1.390	89.867	8.464	93.058						
1.516	90.788	1.678	91.222	9.033	95.228						
2.068	91.113	2.096	92.367	9.699	97.082						
2.171	91.266	2.263	92.820	9.665	98.654						
1.556	89.177	1.525	90.176	8.949	94.366						
2.047	90.925	2.003	90.928	9.417	96.097						
1.479	91.366	1.432	89.464	9.042	94.788						
1.394	88.031	1.441	90.736	8.942	95.600						
1.397	87.797	1.642	89.815	9.543	94.866						
1.248	87.669	1.309	87.737	8.620	90.927						
1.487	90.794	1.530	92.006	8.848	95.825						
1.877	91.373	2.019	93.105	9.876	97.405						
1.689	92.064	1.834	92.787	9.238	97.127						
